date,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 5-24,ILITOTAL,NUM. OF PROVIDERS,OT
2004-08-31,5.88567,5.59413,4067,4550,12688,3950,1140834
2004-09-30,4.002416,3.8584169999999998,2198,2060,6345,2322,657720
2004-10-31,3.126907,2.956875,1476,1442,4404,2056,596681
2004-11-30,3.7627699999999997,3.299795,1614,1680,4888,2295,741406
2004-12-31,3.743202,3.046927,1389,1779,4510,1690,592216
2005-01-31,5.04346,4.374079999999999,5289,5627,15538,4726,1419115
2005-02-28,6.492649999999999,5.57843,6547,7367,20121,5130,1457039
2005-03-31,12.46561,10.764990000000001,11460,13321,37453,6531,1794619
2005-04-30,9.65803,8.698450000000001,9586,12083,33193,5286,1531168
2005-05-31,14.56182,13.41858,13322,24017,54448,6482,2031524
2005-06-30,10.46128,9.44827,8486,16362,35960,4880,1514745
2005-07-31,5.75012,5.18241,4413,7535,17012,4282,1300452
2005-08-31,4.963881000000001,4.606339,3476,4541,11506,4186,1242210
2005-09-30,3.0818820000000002,3.410952,2197,1872,6076,2432,705711
2005-10-31,2.8056289999999997,3.5379490000000002,2029,1756,5840,2270,659710
2005-11-30,3.175365,4.107056,2293,2167,6620,2625,804605
2005-12-31,3.1904150000000002,3.729788,1925,2073,5789,1902,622251
2006-01-31,6.07496,5.72524,7509,9397,23590,7027,2058622
2006-02-28,6.76213,6.3116900000000005,9228,10068,26493,5945,1697757
2006-03-31,10.25833,10.15386,12543,14647,37623,5779,1523339
2006-04-30,9.50946,8.57343,11392,13169,34944,5922,1627581
2006-05-31,16.30412,15.12501,17919,31277,66197,7305,2187211
2006-06-30,9.09797,8.48102,9179,14783,34022,5405,1595711
2006-07-31,5.10344,4.97023,5283,6533,17701,4882,1422606
2006-08-31,4.819013,4.5905380000000005,4184,4496,12680,4957,1378427
2006-09-30,3.138211,2.825176,2261,1828,6204,3058,877933
2006-10-31,3.111295,2.989377,2004,1780,5859,3474,981403
2006-11-30,2.895029,2.606785,1825,1753,5429,2656,831582
2006-12-31,3.929401,3.362968,2353,2696,7389,2614,880794
2007-01-31,6.345444,6.34214,13102,12767,34375,7213,2706309
2007-02-28,6.6078399999999995,6.84732,14291,12382,35532,6091,2095111
2007-03-31,7.745900000000001,7.80548,14091,10673,34179,5786,1789187
2007-04-30,11.29131,10.02817,15083,18773,50189,6014,1995696
2007-05-31,26.90191,24.74945,28425,64374,143605,7508,2899471
2007-06-30,11.77382,11.255880000000001,14140,21849,60384,5631,2127600
2007-07-31,6.027207,6.487265,9312,10193,30884,6288,2357913
2007-08-31,3.303922,3.967899,5661,4854,15364,3986,1557336
2007-09-30,2.7400200000000003,3.48608,4324,3457,11215,3038,1285781
2007-10-31,2.902217,3.806709,4187,3681,11610,3489,1524495
2007-11-30,2.122459,3.103549,2992,3097,9254,2618,1192687
2007-12-31,2.920696,3.830425,3678,4707,12384,2746,1287393
2008-01-31,5.236848999999999,5.31483,9360,11883,31014,7532,2914612
2008-02-29,4.85154,5.33836,10412,10762,30331,6196,2298193
2008-03-31,5.85562,6.7431399999999995,13400,10883,33915,5994,2059819
2008-04-30,9.59067,9.51735,17842,19134,52628,7661,2764947
2008-05-31,13.20313,12.50882,19212,40040,80407,6236,2571073
2008-06-30,10.17217,9.48867,15360,27650,58829,6022,2474906
2008-07-31,8.64528,8.69251,14951,21349,51326,7127,2912518
2008-08-31,7.77329,12.74719,15840,36596,70300,5439,2224447
2008-09-30,8.32654,11.032060000000001,14004,25608,56500,6397,2541784
2008-10-31,5.10508,4.78352,6409,9402,23576,4996,1972921
2008-11-30,6.14719,6.38677,8346,16866,34900,5070,2136428
2008-12-31,20.86806,20.37959,21681,72290,122375,6749,2998397
2009-01-31,28.43034,27.48334,47190,136215,242095,8519,3514654
2009-02-28,19.4195,18.53378,39007,74861,154774,8691,3271426
2009-03-31,12.87076,12.875580000000001,32636,28844,88324,10100,3445022
2009-04-30,7.6243,7.66134,20607,19309,58266,8091,3043790
2009-05-31,8.08327,8.09322,21740,23462,62570,7917,3092974
2009-06-30,8.59375,8.36953,19989,23262,62991,9624,3752627
2009-07-31,4.61137,4.7155000000000005,12209,12059,34416,7201,2919265
2009-08-31,4.3577200000000005,4.48648,11084,10287,30067,6495,2679384
2009-09-30,5.040379,4.864632,10316,9107,27718,6992,2852306
2009-10-31,3.523339,3.150617,5824,5630,16725,5152,2125114
2009-11-30,3.334912,3.182549,5764,5848,17023,4913,2138953
2009-12-31,5.18132,5.0282409999999995,9263,10836,29138,6038,2892196
2010-01-31,4.8674,4.90105,11850,14127,37408,7549,3051346
2010-02-28,6.41247,6.65659,16392,18543,48242,7746,2930300
2010-03-31,12.11301,13.197470000000001,31178,30874,87222,9543,3400831
2010-04-30,13.05306,13.09816,28076,40649,98979,7755,3006438
2010-05-31,17.65007,16.97724,32242,64093,136584,7749,3218253
2010-06-30,12.94707,11.88574,26019,36139,89301,9072,3739687
2010-07-31,5.57391,5.3963,12899,13856,37414,6667,2764648
2010-08-31,5.54056,5.42988,11898,11518,33091,7395,3046509
2010-09-30,3.524635,3.576067,6928,6243,19202,5051,2142648
2010-10-31,2.771083,2.944903,5172,4847,14865,4813,2027184
2010-11-30,3.351443,3.715237,6670,7087,19760,5936,2649511
2010-12-31,4.025194,4.007225,7474,8793,22910,4794,2279751
2011-01-31,4.929970000000001,4.99927,13200,15024,39424,7538,3154004
2011-02-28,5.85006,6.01178,15631,16707,44990,7689,3010498
2011-03-31,8.394269999999999,8.62533,23070,18811,59117,9346,3476268
2011-04-30,6.6762,6.64241,17703,15861,48683,7552,2935392
2011-05-31,10.40567,9.945409999999999,25988,29114,77656,9323,3904271
2011-06-30,8.36301,8.0627,18215,24200,60454,7168,2999426
2011-07-31,5.89237,5.84366,12474,16512,42155,6810,2888262
2011-08-31,6.45007,6.50969,12523,15838,40668,7437,3121867
2011-09-30,4.41988,4.3846,8994,8200,24732,5209,2255046
2011-10-31,3.9810600000000003,3.792064,7394,6818,20510,4984,2168371
2011-11-30,4.895493,4.856526,9165,9642,27695,6202,2844753
2011-12-31,4.99332,4.77986,8778,11003,29141,5010,2434834
2012-01-31,6.77736,6.72448,15607,20621,52112,9727,3879857
2012-02-29,7.88842,7.92526,17520,23076,59468,7914,3022907
2012-03-31,16.634349999999998,17.18127,32187,49164,125229,7796,3008752
2012-04-30,17.703380000000003,18.52373,32815,51963,145866,7963,3154518
2012-05-31,15.30081,15.066230000000001,27387,49260,116866,9653,3867285
2012-06-30,8.94104,9.04028,17058,26073,65189,7366,2880520
2012-07-31,6.6523,6.99146,14360,18243,48854,8629,3486827
2012-08-31,4.22456,4.64123,9192,9773,27800,6187,2393110
2012-09-30,3.576031,3.9432679999999998,7532,6839,21566,5634,2187064
2012-10-31,3.786462,4.18472,7234,7133,21321,6675,2552588
2012-11-30,3.19652,3.3377429999999997,5561,6079,17613,5100,2108670
2012-12-31,4.399114,4.59739,8175,10118,27073,5278,2346428
2013-01-31,6.58778,6.40105,17708,20700,55293,10023,4315255
2013-02-28,7.02013,6.9698,18849,19954,56568,8125,3289169
2013-03-31,12.29101,12.04843,25419,29516,90003,8125,3087354
2013-04-30,17.724420000000002,17.11978,30739,41696,134157,10254,3948718
2013-05-31,9.6671,8.993920000000001,17142,26424,72428,8072,3227070
2013-06-30,7.38075,7.34734,14712,22020,58655,7657,3193362
2013-07-31,7.67243,7.76799,15633,22886,61028,9038,3917402
2013-08-31,5.2745,5.12151,10594,12398,35263,6498,2749860
2013-09-30,4.52609,4.29885,8818,8456,26419,5725,2456179
2013-10-31,4.496514,4.357673,8110,8037,25437,6908,2926864
2013-11-30,3.137895,3.3725650000000003,6241,7156,20828,5475,2468145
2013-12-31,5.744097,5.99341,12068,16665,42092,7502,3496588
2014-01-31,5.54141,5.60133,13584,19222,47523,8021,3392193
2014-02-28,7.86581,7.90812,18873,25785,62191,8180,3204841
2014-03-31,17.04013,16.605809999999998,33242,52525,129992,8166,3231930
2014-04-30,22.135460000000002,21.35614,38894,58069,163420,9833,3848833
2014-05-31,12.37527,11.707889999999999,23445,37865,93656,7708,3196746
2014-06-30,9.04197,8.63644,18326,25951,69091,7550,3200883
2014-07-31,8.05929,8.08535,17910,22762,62707,8973,3876184
2014-08-31,5.20702,5.39648,11258,13730,37302,6624,2757683
2014-09-30,5.027313,5.189806,9629,10297,30685,7281,2950722
2014-10-31,3.151259,3.302981,5831,6241,19217,5592,2326478
2014-11-30,3.179936,3.3771649999999998,5838,7105,20324,5422,2404135
2014-12-31,4.8820239999999995,5.418106,9691,12898,34325,6771,3160018
2015-01-31,5.29906,5.34693,12269,16208,43512,7933,3254191
2015-02-28,6.4335,6.51054,15243,18657,50741,8099,3150834
2015-03-31,10.06499,10.35265,25256,23893,75517,9987,3712145
2015-04-30,8.310649999999999,8.2781,19241,22118,64975,8043,3137732
2015-05-31,11.48809,11.113430000000001,23076,35239,91822,7956,3302173
2015-06-30,15.15606,15.32404,28621,48486,125386,9504,4072703
2015-07-31,7.6342300000000005,7.95607,13951,24912,62303,7151,3130887
2015-08-31,5.453049999999999,5.88056,10943,15531,41162,6497,2791901
2015-09-30,4.847327,5.562979,10962,10819,33676,7152,3024075
2015-10-31,2.940787,3.444722,6506,6485,20165,5552,2345469
2015-11-30,2.900522,3.48551,6459,7413,20989,5390,2403241
2015-12-31,5.370401,5.83469,10478,14960,37500,6818,3206839
2016-01-31,5.0639199999999995,5.32487,13667,17468,46435,7908,3485675
2016-02-29,6.6054699999999995,6.98914,19028,20657,57416,8000,3314608
2016-03-31,12.04561,12.62738,30819,32804,98494,9919,3980694
2016-04-30,13.48948,13.03292,26093,41849,109121,8071,3340900
2016-05-31,22.5622,21.53909,37066,86018,190749,10000,4424796
2016-06-30,12.61072,12.483,22016,43288,105240,7768,3372293
2016-07-31,7.65322,7.42414,14700,23205,60155,7458,3233422
2016-08-31,6.24752,6.58492,12978,17089,47093,8491,3565771
2016-09-30,3.71073,4.163134,8162,8195,25982,5854,2490675
2016-10-31,3.0359439999999998,3.4138279999999996,6398,6078,19913,5622,2337424
2016-11-30,4.083647,4.7153469999999995,8731,9932,28830,6875,3043718
2016-12-31,4.4762699999999995,4.6879100000000005,9829,11706,33018,5821,2814247
2017-01-31,7.1739999999999995,7.29475,22600,25667,73326,11219,5025701
2017-02-28,8.50981,8.52513,26959,27597,84517,9134,3981033
2017-03-31,16.38896,15.59722,37296,45453,144494,8877,3776743
2017-04-30,25.31962,24.24541,44868,81596,244392,9074,4004975
2017-05-31,30.000619999999998,31.07899,60763,141772,339109,11281,5395582
2017-06-30,10.85028,10.57638,21900,36172,99569,8739,3755842
2017-07-31,7.00718,6.96012,16277,22328,65159,8413,3745921
2017-08-31,6.38853,6.40289,17066,19128,56230,9626,4382597
2017-09-30,3.652753,3.840515,9740,8875,30586,7060,3183157
2017-10-31,3.467268,3.674102,8976,8895,29654,8778,4040142
2017-11-30,3.095961,3.445895,8396,9252,27832,6706,3228153
2017-12-31,4.70564,4.8617,12310,15150,42551,6812,3498128
2018-01-31,7.71851,8.04564,28926,35200,101378,13229,6301853
2018-02-28,8.23051,8.657540000000001,32827,32512,102235,10621,4743326
2018-03-31,11.9926,12.45232,44095,45512,143762,10485,4679658
2018-04-30,13.658830000000002,14.01066,41523,51560,168390,10621,4814802
2018-05-31,23.6778,25.00429,65054,131214,320315,13309,6397296
2018-06-30,15.371220000000001,15.075880000000002,40519,72283,192224,10555,5097588
2018-07-31,10.27725,10.20561,31752,42505,123416,12731,6032664
2018-08-31,5.8116900000000005,5.76665,18481,21330,64105,9200,4445426
2018-09-30,4.267919,4.331628,13454,14261,46279,8707,4267060
2018-10-31,3.897178,3.945221,11572,12862,40934,10710,5193696
2018-11-30,3.313114,3.62591,11075,12970,39061,8730,4300292
2018-12-31,4.94902,5.35832,17172,21849,61485,8899,4583134
2019-01-31,8.68193,8.7143,36606,43005,126085,14822,7235055
2019-02-28,11.340440000000001,11.435680000000001,49163,58101,160523,11993,5650349
2019-03-31,19.32694,19.36137,70678,101460,272699,11796,5698087
2019-04-30,28.99767,29.5396,92618,155208,442585,14959,7480800
2019-05-31,23.56295,24.028620000000004,66813,136443,362161,11905,6005403
2019-06-30,22.23305,25.15645,43961,79986,300112,11308,4836768
2019-07-31,11.85908,14.51894,6713,15360,107484,13371,3720928
2019-08-31,4.197998,4.554957,3213,7957,42559,11146,3806259
2019-09-30,3.7215360000000004,3.790754,3896,10272,46246,11651,4843891
2019-10-31,6.34512,6.66756,7837,19174,89156,14622,6688061
2019-11-30,4.013317,3.970842,6825,13614,53272,11790,5367105
2019-12-31,5.064966,4.958018,10562,20010,69188,14959,6959098
2020-01-31,4.7550799999999995,4.61432,9820,19643,73146,13493,6340424
2020-02-29,6.08702,5.6378699999999995,10674,21322,87996,13604,6255228
2020-03-31,7.746180000000001,7.27473,12559,21364,107611,16715,7399698
2020-04-30,5.12424,5.03338,9917,16587,77102,13331,6116661
2020-05-31,4.0560849999999995,3.831507,10037,14391,55898,13102,5837311
2020-06-30,4.556604,4.683177000000001,17126,18763,71587,15782,7643940
