day,window,efficiency,volatility
6,9,0.72,0.7
6,10,0.94,0.2
6,11,0.99,0.2
6,12,0.76,0.2
6,13,0.6,0.3
6,14,0.67,0.3
6,15,0.56,0.2
6,16,0.35,0.8
6,17,0.83,0.4
6,18,0.57,0.9
6,19,0.72,0.7
6,20,0.78,0.8
6,21,0.66,0.2
6,22,0.7,0.6
6,23,0.68,1.2
6,24,0.09,0.1
6,25,0.0,0.0
6,26,0.0,0.0
6,27,0.0,0.0
6,28,0.0,0.0
6,29,0.0,0.0
6,30,0.37,0.5
6,31,0.97,0.2
6,32,0.41,0.6
6,33,0.59,0.7
6,34,0.48,0.7
6,35,0.41,0.4
6,36,0.83,0.4
6,37,0.54,0.8
6,38,0.65,0.7
6,39,0.23,0.6
6,40,0.49,0.4
6,41,0.69,0.7
6,42,0.95,0.2
6,43,0.69,0.4
6,44,0.84,0.4
6,45,0.54,1.0
6,46,0.59,0.7
6,47,0.58,0.5
7,0,0.69,0.3
7,1,0.17,0.3
7,2,1.0,0.0
7,3,0.81,0.4
7,4,0.81,0.6
7,5,0.8,0.2
7,6,0.8,0.3
7,7,0.74,0.6
7,8,0.33,0.5
7,9,0.86,0.8
7,10,0.66,0.6
7,11,0.36,0.7
7,12,0.53,0.5
7,13,0.75,1.3
7,14,0.52,0.4
7,15,0.47,0.7
7,16,0.79,0.5
7,17,0.91,0.1
7,18,0.67,0.5
7,19,0.39,0.3
7,20,0.49,0.7
7,21,0.47,0.6
7,22,0.61,0.7
7,23,0.94,0.2
7,24,0.16,0.1
7,25,0.0,0.0
7,26,0.0,0.0
7,27,0.0,0.0
7,28,0.0,0.0
7,29,0.0,0.0
7,30,0.19,0.6
7,31,0.33,0.6
7,32,0.32,0.6
7,33,0.66,0.7
7,34,0.98,0.2
7,35,0.11,0.2
7,36,0.86,0.5
7,37,0.51,0.9
7,38,0.89,0.4
7,39,0.55,0.6
7,40,0.26,0.3
7,41,0.77,0.5
7,42,0.73,0.6
7,43,0.79,0.8
7,44,0.9,0.4
7,45,0.64,0.7
7,46,0.7,0.1
7,47,0.57,0.4
8,0,0.81,0.2
8,1,0.73,0.5
8,2,0.59,0.5
8,3,0.28,0.6
8,4,0.63,0.1
8,5,0.37,0.3
8,6,0.71,0.4
8,7,0.87,0.1
8,8,0.45,0.6
8,9,0.32,0.1
8,10,0.71,0.9
8,11,0.72,0.3
8,12,0.97,0.2
8,13,0.93,0.3
8,14,0.91,0.1
8,15,0.56,0.4
8,16,0.78,0.5
8,17,0.77,0.7
8,18,0.66,0.3
8,19,0.89,0.5
8,20,0.46,0.5
8,21,0.56,0.5
8,22,0.94,0.2
8,23,0.72,0.6
8,24,0.02,0.1
8,25,0.0,0.0
8,26,0.0,0.0
8,27,0.0,0.0
8,28,0.0,0.0
8,29,0.0,0.0
8,30,0.51,0.8
8,31,0.86,0.3
8,32,0.77,1.0
8,33,0.58,0.7
8,34,0.44,0.6
8,35,0.86,0.5
8,36,0.76,0.5
8,37,0.49,0.9
8,38,0.72,0.4
8,39,0.81,0.4
8,40,0.84,0.6
8,41,0.49,0.4
8,42,1.0,0.0
8,43,0.68,0.5
8,44,0.88,0.1
8,45,0.68,0.7
8,46,0.52,0.3
8,47,0.77,0.1
9,0,0.36,0.5
9,1,0.05,0.2
9,2,0.16,0.3
9,3,0.94,0.2
9,4,0.93,0.2
9,5,0.47,0.6
9,6,0.83,0.3
9,7,0.76,0.8
9,8,0.72,0.4
9,9,0.7,0.7
9,10,0.45,0.8
9,11,0.45,0.7
9,12,0.9,0.2
9,13,0.78,0.7
9,14,0.95,0.1
9,15,0.63,0.2
9,16,0.72,0.7
9,17,0.87,0.3
9,18,0.71,0.6
9,19,0.43,0.4
9,20,0.82,0.2
9,21,0.94,0.2
9,22,0.59,0.8
9,23,0.6,1.0
9,24,0.09,0.1
9,25,0.0,0.0
9,26,0.0,0.0
9,27,0.0,0.0
9,28,0.0,0.0
9,29,0.0,0.0
9,30,0.73,0.5
9,31,0.72,0.9
9,32,0.66,0.3
9,33,0.83,0.4
9,34,1.0,0.2
9,35,0.85,0.1
9,36,0.16,0.7
9,37,0.68,0.2
9,38,1.0,0.0
9,39,0.78,0.8
9,40,0.71,0.4
9,41,0.79,0.8
9,42,0.83,0.6
9,43,0.72,0.4
9,44,0.79,0.4
9,45,0.77,0.4
9,46,0.52,0.5
9,47,0.55,0.9
10,0,0.33,0.2
10,1,0.58,0.3
10,2,0.15,0.6
10,3,0.43,0.5
10,4,0.17,0.7
10,5,0.14,0.6
10,6,0.83,0.3
10,7,0.78,0.4
10,8,0.64,0.4
10,9,0.8,0.6
10,10,0.7,0.4
10,11,0.48,0.9
10,12,0.45,1.0
10,13,0.56,0.7
10,14,0.89,0.4
10,15,0.92,0.3
10,16,0.6,0.7
10,17,0.92,0.1
10,18,0.6,0.7
10,19,0.71,0.2
10,20,0.8,0.4
10,21,0.62,0.7
10,22,0.85,0.4
10,23,0.46,0.5
10,24,0.26,0.1
10,25,0.0,0.0
10,26,0.0,0.0
10,27,0.0,0.0
10,28,0.0,0.0
10,29,0.0,0.0
10,30,0.97,0.4
10,31,0.81,0.3
10,32,0.77,0.5
10,33,0.87,0.4
10,34,0.81,0.6
10,35,0.77,0.5
10,36,0.65,0.5
10,37,0.78,0.6
10,38,0.54,0.6
10,39,0.94,0.4
10,40,0.69,0.7
10,41,0.55,0.3
10,42,0.48,0.9
10,43,0.55,0.5
10,44,0.83,0.4
10,45,0.51,0.7
10,46,0.83,0.4
10,47,0.73,0.4
11,0,0.57,0.6
11,1,0.75,0.1
11,2,0.84,1.4
11,3,0.99,0.2
11,4,0.26,0.5
11,5,0.46,0.3
11,6,0.69,0.4
11,7,0.81,0.5
11,8,0.6,0.3
11,9,0.41,0.6
11,10,0.71,0.7
11,11,0.55,0.8
11,12,0.71,0.3
11,13,0.96,0.2
11,14,1.0,0.0
11,15,0.93,0.5
11,16,0.33,0.4
11,17,0.89,0.5
11,18,0.33,0.4
11,19,0.79,0.4
11,20,0.6,0.7
11,21,0.52,0.4
11,22,0.74,0.2
11,23,0.31,0.4
11,24,0.0,0.0
11,25,0.0,0.0
11,26,0.0,0.0
11,27,0.0,0.0
11,28,0.0,0.0
11,29,0.0,0.0
11,30,0.27,0.6
11,31,0.84,0.5
11,32,0.98,0.2
11,33,0.79,0.2
11,34,0.52,0.6
11,35,0.67,0.6
11,36,0.6,0.4
11,37,0.92,0.6
11,38,0.67,0.6
11,39,0.55,1.2
11,40,0.7,0.4
11,41,0.79,0.6
11,42,0.71,0.4
11,43,0.74,0.8
11,44,0.63,0.6
11,45,0.69,0.5
11,46,0.57,0.5
11,47,0.83,0.5
12,0,0.16,0.6
12,1,0.58,0.8
12,2,0.55,0.7
12,3,0.15,0.6
12,4,0.38,0.2
12,5,0.89,0.1
12,6,0.62,0.7
12,7,0.7,0.5
12,8,0.63,0.9
12,9,0.44,0.5
12,10,0.93,0.2
12,11,1.0,0.2
12,12,0.85,0.2
12,13,0.6,0.5
12,14,0.98,0.1
12,15,0.58,0.8
12,16,0.66,0.6
12,17,0.61,0.3
12,18,0.63,0.8
12,19,0.77,0.5
12,20,0.56,0.7
12,21,0.43,0.6
12,22,0.67,0.3
12,23,0.63,0.1
12,24,0.23,0.1
12,25,0.0,0.0
12,26,0.0,0.0
12,27,0.0,0.0
12,28,0.0,0.0
12,29,0.0,0.0
12,30,0.84,0.3
12,31,0.75,0.5
12,32,0.58,0.5
12,33,0.81,0.6
12,34,0.81,0.4
12,35,0.35,0.3
12,36,0.74,0.8
12,37,0.57,0.3
12,38,0.84,0.3
12,39,0.69,0.5
12,40,0.63,0.7
12,41,0.73,0.4
12,42,0.66,0.6
12,43,0.58,0.3
12,44,0.7,0.6
12,45,0.48,0.6
12,46,0.48,0.9
12,47,0.65,0.5
13,0,0.69,0.2
13,1,0.92,0.5
13,2,0.73,0.4
13,3,0.77,0.7
13,4,0.37,0.6
13,5,0.84,0.4
13,6,0.84,0.4
13,7,0.54,0.5
13,8,0.88,0.7
13,9,0.82,0.6
13,10,0.77,0.4
13,11,0.76,0.4
13,12,0.79,0.4
13,13,0.9,0.4
13,14,0.91,0.2
13,15,1.0,0.0
13,16,0.98,0.2
13,17,0.96,0.4
13,18,0.75,0.6
13,19,0.88,0.1
13,20,0.98,0.3
13,21,0.58,0.5
13,22,0.51,0.7
13,23,0.87,0.4
13,24,0.66,0.1
13,25,0.0,0.0
13,26,0.0,0.0
13,27,0.0,0.0
13,28,0.0,0.0
13,29,0.0,0.0
13,30,0.49,0.5
13,31,0.8,0.8
13,32,0.66,0.6
13,33,0.82,0.4
13,34,0.76,0.4
13,35,0.34,0.4
13,36,0.96,0.1
13,37,0.58,0.5
13,38,0.84,0.6
13,39,0.98,0.2
13,40,0.69,0.6
13,41,0.73,0.6
13,42,0.77,0.2
13,43,0.85,0.4
13,44,0.89,0.3
13,45,0.54,0.7
13,46,0.64,0.7
13,47,0.42,0.9
14,0,0.57,0.9
14,1,0.5,0.7
14,2,0.34,0.6
14,3,0.6,0.6
14,4,0.7,0.3
14,5,0.68,0.4
14,6,0.52,0.5
14,7,0.4,0.3
14,8,0.7,0.4
14,9,0.64,0.9
14,10,0.68,0.8
14,11,0.79,0.9
14,12,0.83,0.6
14,13,0.91,0.4
14,14,0.81,0.8
14,15,0.88,0.4
14,16,0.65,0.4
14,17,0.51,1.0
14,18,0.41,0.7
14,19,0.42,1.2
14,20,0.63,0.3
14,21,0.61,0.8
14,22,0.92,0.2
14,23,0.8,0.2
14,24,0.19,0.1
14,25,0.0,0.0
14,26,0.0,0.0
14,27,0.0,0.0
14,28,0.0,0.0
14,29,0.0,0.0
14,30,0.85,0.4
14,31,0.24,0.6
14,32,0.5,0.5
14,33,0.79,0.4
14,34,0.62,0.7
14,35,0.41,0.4
14,36,0.5,0.7
14,37,0.59,0.5
14,38,0.73,0.6
14,39,0.59,0.7
14,40,0.55,0.4
14,41,0.84,0.4
14,42,0.46,0.6
14,43,0.71,0.6
14,44,0.93,0.3
14,45,0.52,0.5
14,46,0.49,0.4
14,47,0.45,0.5
15,0,0.82,0.5
15,1,0.69,0.6
15,2,0.31,0.7
15,3,0.6,0.9
15,4,0.89,0.4
15,5,0.36,0.4
15,6,0.49,0.5
15,7,0.26,0.6
15,8,0.74,0.7
15,9,0.69,0.5
15,10,0.34,0.6
15,11,0.71,0.7
15,12,0.49,0.2
15,13,0.61,0.6
15,14,0.64,1.1
15,15,0.88,0.3
15,16,0.47,0.7
15,17,0.46,0.5
15,18,0.79,0.6
15,19,0.9,0.2
15,20,0.92,0.6
15,21,0.94,0.2
15,22,0.53,1.4
15,23,0.72,0.4
15,24,0.1,0.1
15,25,0.0,0.0
15,26,0.0,0.0
15,27,0.0,0.0
15,28,0.0,0.0
15,29,0.0,0.0
15,30,0.77,0.7
15,31,0.76,0.7
15,32,0.38,0.7
15,33,0.6,0.6
15,34,0.85,0.4
15,35,0.27,0.4
15,36,0.74,0.6
15,37,0.92,0.4
15,38,0.94,0.2
15,39,0.8,0.6
15,40,0.91,0.2
15,41,0.59,0.5
15,42,0.95,0.1
15,43,0.69,0.5
15,44,0.8,0.9
15,45,0.46,0.9
15,46,0.75,0.5
15,47,0.68,0.2
16,0,0.59,0.5
16,1,0.43,0.9
16,2,0.69,0.7
16,3,0.23,0.4
16,4,0.56,0.6
16,5,0.81,0.5
16,6,0.66,0.7
16,7,0.49,0.5
16,8,0.49,0.7
16,9,0.69,0.5
16,10,0.81,0.3
16,11,1.0,0.0
16,12,0.46,0.6
16,13,0.8,0.5
16,14,0.52,0.3
16,15,0.72,0.6
16,16,0.86,0.5
16,17,0.9,0.4
16,18,0.73,0.6
16,19,0.76,0.4
16,20,0.48,0.6
16,21,0.66,0.3
16,22,0.81,0.4
16,23,0.57,0.3
16,24,0.01,0.1
16,25,0.0,0.0
16,26,0.0,0.0
16,27,0.0,0.0
16,28,0.0,0.0
16,29,0.0,0.0
16,30,0.59,0.4
16,31,0.5,0.2
16,32,0.27,0.4
16,33,0.28,0.4
16,34,0.45,0.5
16,35,0.93,0.2
16,36,0.62,0.2
16,37,0.52,0.5
16,38,0.76,0.4
16,39,0.51,0.7
16,40,0.48,0.4
16,41,0.6,0.7
16,42,0.87,0.3
16,43,0.73,0.6
16,44,0.87,0.2
16,45,0.49,0.8
16,46,0.98,0.2
16,47,0.42,0.5
17,0,0.53,0.5
17,1,0.95,0.4
17,2,0.78,0.6
17,3,0.71,0.5
17,4,0.59,0.7
17,5,0.48,0.3
17,6,0.74,0.1
17,7,0.79,0.4
17,8,0.79,0.2
17,9,0.65,0.8
17,10,0.76,0.8
17,11,0.96,0.2
17,12,0.7,0.3
17,13,0.84,0.3
17,14,1.0,0.0
17,15,0.99,0.2
17,16,0.9,0.3
17,17,0.56,0.3
17,18,0.74,0.6
17,19,0.61,0.6
17,20,0.59,0.8
17,21,0.71,0.8
17,22,0.58,0.4
17,23,0.27,0.6
17,24,0.22,0.1
17,25,0.0,0.0
17,26,0.0,0.0
17,27,0.0,0.0
17,28,0.0,0.0
17,29,0.0,0.0
17,30,0.66,0.5
17,31,0.39,0.8
17,32,0.9,0.1
17,33,0.41,0.8
17,34,0.68,1.0
17,35,0.47,0.6
17,36,0.88,0.3
17,37,0.68,0.2
17,38,0.69,0.7
17,39,0.84,0.9
17,40,0.85,0.5
17,41,0.06,0.1
17,42,0.71,0.9
17,43,0.53,0.5
17,44,0.59,0.7
17,45,0.52,0.9
17,46,0.65,0.3
17,47,0.33,0.4
